name	avg	max	min	stddev	sum	num_instances	DesiredNumShoppers	DesiredNumContagious	OneWayAisles	SimulationTimeInSeconds	SpawnCooldown
totalHealthy	166.8	189	147	17.541379649275026	834	5	30	3	True	600	0.75
totalHealthy	122.0	130	112	7.905694150420946	610	5	20	3	True	600	0.75
totalExposed	236.8	268	225	17.767948671695333	1184	5	30	1	True	600	0.75
totalExposed	555.6	576	537	15.257784898208522	2778	5	60	4	True	600	0.75
totalExposed	516.8	527	508	8.228000972289676	2584	5	40	4	True	600	0.75
totalExposed	433.6	448	417	12.421755109484328	2168	5	40	2	True	600	0.75
totalHealthy	245.0	260	230	12.922847983320086	1225	5	20	1	True	600	0.75
totalHealthy	169.2	203	143	23.0694603317893	846	5	20	2	True	600	0.75
totalHealthy	371.0	395	327	27.703790354390136	1855	5	30	1	True	600	0.75
totalExposed	440.4	457	417	16.334013591276335	2202	5	60	2	True	600	0.75
totalHealthy	141.2	146	128	7.529940238806678	706	5	40	5	True	600	0.75
totalExposed	246.8	270	216	20.48658097389606	1234	5	20	3	True	600	0.75
totalExposed	310.2	333	293	16.961721610732795	1551	5	60	1	True	600	0.75
totalHealthy	173.2	196	139	21.06418761785035	866	5	40	4	True	600	0.75
totalHealthy	181.0	212	149	23.388031127053	905	5	50	4	True	600	0.75
totalHealthy	335.2	352	324	10.449880382090504	1676	5	60	2	True	600	0.75
totalHealthy	138.0	153	128	10.173494974687902	690	5	60	5	True	600	0.75
totalHealthy	146.6	157	134	9.607288899580361	733	5	50	5	True	600	0.75
totalExposed	258.6	267	249	7.700649323271382	1293	5	20	5	True	600	0.75
totalExposed	333.2	360	298	24.097717734258577	1666	5	30	2	True	600	0.75
totalExposed	260.8	276	246	12.132600710482476	1304	5	20	4	True	600	0.75
totalExposed	217.6	230	203	11.523888232710346	1088	5	20	2	True	600	0.75
totalHealthy	489.4	510	474	14.993331851193044	2447	5	60	1	True	600	0.75
totalHealthy	490.8	520	473	19.715476154534027	2454	5	50	1	True	600	0.75
totalExposed	292.6	317	269	17.92484309554758	1463	5	40	1	True	600	0.75
totalExposed	574.2	583	561	8.92748564826626	2871	5	60	5	True	600	0.75
totalHealthy	455.4	488	430	21.835750502329894	2277	5	40	1	True	600	0.75
totalHealthy	216.4	247	199	18.59569842732453	1082	5	40	3	True	600	0.75
totalHealthy	84.0	99	73	11.31370849898476	420	5	20	4	True	600	0.75
totalHealthy	134.4	148	128	8.905054744357274	672	5	30	4	True	600	0.75
totalExposed	385.6	405	366	18.392933425639317	1928	5	30	3	True	600	0.75
totalExposed	556.6	592	540	20.562101059959787	2783	5	50	4	True	600	0.75
totalExposed	499.6	507	478	12.320714265009144	2498	5	40	3	True	600	0.75
totalHealthy	94.4	116	79	13.390294993016395	472	5	30	5	True	600	0.75
totalExposed	513.0	538	470	26.14383292480273	2565	5	50	3	True	600	0.75
totalHealthy	186.4	207	168	16.92040188648012	932	5	60	4	True	600	0.75
totalHealthy	254.4	279	233	17.938784797192927	1272	5	30	2	True	600	0.75
totalHealthy	59.4	73	42	11.886967653695368	297	5	20	5	True	600	0.75
totalHealthy	310.0	320	299	8.396427811873332	1550	5	40	2	True	600	0.75
totalExposed	532.0	544	524	7.7781745930520225	2660	5	40	5	True	600	0.75
totalExposed	405.4	420	379	16.727223320085137	2027	5	30	5	True	600	0.75
totalExposed	416.2	429	388	16.48332490731163	2081	5	30	4	True	600	0.75
totalExposed	573.4	600	536	23.76552124402073	2867	5	50	5	True	600	0.75
totalExposed	449.0	459	435	9.565563234854496	2245	5	50	2	True	600	0.75
totalExposed	309.8	322	289	14.889593681494473	1549	5	50	1	True	600	0.75
totalExposed	170.6	188	153	15.693947878083447	853	5	20	1	True	600	0.75
totalHealthy	241.4	262	224	14.959946523968597	1207	5	50	3	True	600	0.75
totalHealthy	235.6	251	217	14.275853739794341	1178	5	60	3	True	600	0.75
totalHealthy	322.2	334	311	8.228000972289689	1611	5	50	2	True	600	0.75
totalExposed	521.6	533	505	10.334408546211037	2608	5	60	3	True	600	0.75
